"TimeStamp","Path","Value"
"03_08_2022-17:32:41","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.9292528854584"
"03_08_2022-17:32:41","\\usni25pxed\physicaldisk(_total)\% idle time","98.9292528854584"
"03_08_2022-17:32:41","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:41","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00218312"
"03_08_2022-17:32:41","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:41","\\usni25pxed\memory\available mbytes","20815"
"03_08_2022-17:32:41","\\usni25pxed\processor(_total)\% processor time","17.94703898115"
"03_08_2022-17:32:41","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","15361.1219220033"
"03_08_2022-17:32:41","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:41","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:41","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:41","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:41","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0108678681911702"
"03_08_2022-17:32:41","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0108678681911702"
"03_08_2022-17:32:42","\\usni25pxed\physicaldisk(0 c:)\% idle time","99.9833112674491"
"03_08_2022-17:32:42","\\usni25pxed\physicaldisk(_total)\% idle time","99.9833112674491"
"03_08_2022-17:32:42","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:42","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0"
"03_08_2022-17:32:42","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:42","\\usni25pxed\memory\available mbytes","20764"
"03_08_2022-17:32:42","\\usni25pxed\processor(_total)\% processor time","11.9621915383194"
"03_08_2022-17:32:42","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","7368.59123682149"
"03_08_2022-17:32:42","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:42","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:42","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:42","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:42","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0"
"03_08_2022-17:32:42","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0"
"03_08_2022-17:32:43","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.532336687425"
"03_08_2022-17:32:43","\\usni25pxed\physicaldisk(_total)\% idle time","98.532336687425"
"03_08_2022-17:32:43","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:43","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00031576976744186"
"03_08_2022-17:32:43","\\usni25pxed\memory\pages/sec","2.99874412596005"
"03_08_2022-17:32:43","\\usni25pxed\memory\available mbytes","20723"
"03_08_2022-17:32:43","\\usni25pxed\processor(_total)\% processor time","11.3750203392365"
"03_08_2022-17:32:43","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","10011.8070552053"
"03_08_2022-17:32:43","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:43","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:43","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:43","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:43","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0136727643730938"
"03_08_2022-17:32:43","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0136727643730938"
"03_08_2022-17:32:44","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.9984539699238"
"03_08_2022-17:32:44","\\usni25pxed\physicaldisk(_total)\% idle time","98.9984539699238"
"03_08_2022-17:32:44","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:44","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00103113"
"03_08_2022-17:32:44","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:44","\\usni25pxed\memory\available mbytes","20679"
"03_08_2022-17:32:44","\\usni25pxed\processor(_total)\% processor time","9.93863787663898"
"03_08_2022-17:32:44","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","3202.97555431184"
"03_08_2022-17:32:44","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:44","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:44","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:44","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:44","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0103076989103931"
"03_08_2022-17:32:44","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0103076989103931"
"03_08_2022-17:32:46","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.9032199075938"
"03_08_2022-17:32:46","\\usni25pxed\physicaldisk(_total)\% idle time","98.9032199075938"
"03_08_2022-17:32:46","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:46","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.0035677"
"03_08_2022-17:32:46","\\usni25pxed\memory\pages/sec","0.993918412020529"
"03_08_2022-17:32:46","\\usni25pxed\memory\available mbytes","20636"
"03_08_2022-17:32:46","\\usni25pxed\processor(_total)\% processor time","9.15778928632123"
